Wed, 23 Feb 2022 10:49:33 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Wed, 23 Feb 2022 10:51:58 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 07:05:32 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 08:38:00 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 08:51:19 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:30:07 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:30:23 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:30:46 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:33:05 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:35:29 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:37:45 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:39:48 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:47:27 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 10:51:11 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 11:25:09 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 11:50:15 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 11:53:36 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 11:55:20 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
Thu, 24 Feb 2022 12:08:40 GMT | ERROR | Model.log | Error: Table 'auction.sub_category' doesn't exist | 
